#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:364:2:13006,13006,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13006,Bardsir,شهرستان بردسیر,IR013006,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13007,13007,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13007,Fahraj,شهرستان فهرج,IR013007,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13008,13008,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13008,Faryab,شهرستان فاریاب,IR013008,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13009,13009,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13009,Ghaleye-Ganj,شهرستان قلعه‌گنج,IR013009,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13010,13010,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13010,Jiroft,شهرستان جیرفت,IR013010,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13011,13011,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13011,Kahnuj,شهرستان کهنوج,IR013011,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13012,13012,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13012,Kerman,شهرستان کرمان,IR013012,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13013,13013,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13013,Kuhbonan,شهرستان کوهبنان,IR013013,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13014,13014,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13014,Manujan,شهرستان منوجان,IR013014,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13015,13015,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13015,Normashir,شهرستان نرماشیر,IR013015,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13016,13016,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13016,Rabar,شهرستان رابر,IR013016,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13017,13017,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13017,Rafsanjan,شهرستان رفسنجان,IR013017,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13018,13018,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13018,Ravar,شهرستان راور,IR013018,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13019,13019,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13019,Rigan,شهرستان ریگان,IR013019,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13020,13020,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13020,Roudbar-e-Jonub,شهرستان رودبار جنوب,IR013020,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13021,13021,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13021,Shahr-e-Babak,شهرستان شهربابک,IR013021,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13022,13022,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13022,Sirjan,شهرستان سیرجان,IR013022,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:13023,13023,1603:45:16:364:0,1603:45:16:364:1:13,1603:45:16:364:2:13023,Zarand,شهرستان زرند,IR013023,,,,,,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14001,14001,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14001,Dalaho,شهرستان دالاهو,IR014001,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14002,14002,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14002,Islamabad-e-Gharb,شهرستان اسلام آبادغرب,IR014002,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14003,14003,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14003,Gilan-e-Gharb,شهرستان گیلانغرب,IR014003,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14004,14004,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14004,Harsin,شهرستان هرسین,IR014004,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14005,14005,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14005,Javanrud,شهرستان جوانرود,IR014005,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14006,14006,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14006,Kangavar,شهرستان کنگاور,IR014006,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14007,14007,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14007,Kermanshah,شهرستان کرمانشاه,IR014007,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14008,14008,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14008,Paveh,شهرستان پاوه,IR014008,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14009,14009,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14009,Qasr-e-Shirin,شهرستان قصر شیرین,IR014009,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14010,14010,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14010,Ravansar,شهرستان روانسر,IR014010,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14011,14011,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14011,Sahneh,شهرستان صحنه,IR014011,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14012,14012,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14012,Solas-e-Babajani,شهرستان ثلاث باباجانی,IR014012,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14013,14013,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14013,Sarpol-e-Zahab,شهرستان سرپل ذهاب,IR014013,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:14014,14014,1603:45:16:364:0,1603:45:16:364:1:14,1603:45:16:364:2:14014,Sonqor,شهرستان سنقر,IR014014,,,,,,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15001,15001,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15001,Abadan,شهرستان آبادان,IR015001,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15002,15002,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15002,Aghajari,شهرستان آغاجاری,IR015002,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15003,15003,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15003,Ahvaz,شهرستان اهواز,IR015003,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15004,15004,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15004,Andika,شهرستان اندیکا,IR015004,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15005,15005,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15005,Andimeshk,شهرستان اندیمشک,IR015005,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15006,15006,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15006,Baghmalek,شهرستان باغ‌ملک,IR015006,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15007,15007,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15007,Mahshahr,شهرستان بندر ماهشهر,IR015007,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15008,15008,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15008,Bavi,شهرستان باوی,IR015008,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15009,15009,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15009,Behbahan,شهرستان بهبهان,IR015009,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15010,15010,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15010,Dasht-e-Azadegan,شهرستان دشت آزادگان,IR015010,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15011,15011,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15011,Dezful,شهرستان دزفول,IR015011,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15012,15012,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15012,Guotvand,شهرستان گتوند,IR015012,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15013,15013,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15013,Haftgol,شهرستان هفتکل,IR015013,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15014,15014,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15014,Hamidieh,شهرستان حمیدیه,IR015014,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15015,15015,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15015,Hendijan,شهرستان هندیجان,IR015015,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15016,15016,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15016,Hoveizeh,شهرستان هویزه,IR015016,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15017,15017,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15017,Izeh,شهرستان ایذه,IR015017,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15018,15018,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15018,Karoun,شهرستان کارون,IR015018,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15019,15019,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15019,Khorramshahr,شهرستان خرمشهر,IR015019,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15020,15020,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15020,Lali,شهرستان لالی,IR015020,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15021,15021,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15021,Masjed-Soleyman,شهرستان مسجدسلیمان,IR015021,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15022,15022,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15022,Omidiyeh,شهرستان امیدیه,IR015022,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15023,15023,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15023,Ramhormoz,شهرستان رامهرمز,IR015023,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15024,15024,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15024,Ramshir,شهرستان رامشیر,IR015024,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15025,15025,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15025,Shadegan,شهرستان شادگان,IR015025,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15026,15026,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15026,Shush,شهرستان شوش,IR015026,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:15027,15027,1603:45:16:364:0,1603:45:16:364:1:15,1603:45:16:364:2:15027,Shushtar,شهرستان شوشتر,IR015027,,,,,,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16001,16001,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16001,Bahmai,شهرستان بهمئی,IR016001,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16002,16002,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16002,Basht,شهرستان باشت,IR016002,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16003,16003,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16003,Yasooj_x000D_,شهرستان بویراحمد,IR016003,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16004,16004,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16004,Charam,شهرستان چرام,IR016004,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16005,16005,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16005,Dena,شهرستان دنا,IR016005,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16006,16006,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16006,Gachsaran,شهرستان گچساران,IR016006,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16007,16007,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16007,Kohgeluyeh,شهرستان کهگیلویه,IR016007,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:16008,16008,1603:45:16:364:0,1603:45:16:364:1:16,1603:45:16:364:2:16008,Landeh,شهرستان لنده,IR016008,,,,,,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17001,17001,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17001,Baneh,شهرستان بانه,IR017001,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17002,17002,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17002,Bijar,شهرستان بیجار,IR017002,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17003,17003,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17003,Dehgolan,شهرستان دهگلان,IR017003,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17004,17004,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17004,Divandarreh,شهرستان دیواندره,IR017004,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17005,17005,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17005,Qorveh,شهرستان قروه,IR017005,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17006,17006,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17006,Kamyaran,شهرستان کامیاران,IR017006,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17007,17007,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17007,Marivan,شهرستان مریوان,IR017007,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17008,17008,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17008,Sannandaj,شهرستان سنندج,IR017008,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17009,17009,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17009,Saqqez,شهرستان سقز,IR017009,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:17010,17010,1603:45:16:364:0,1603:45:16:364:1:17,1603:45:16:364:2:17010,Sarvabad,شهرستان سروآباد,IR017010,,,,,,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18001,18001,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18001,Aligudarz,شهرستان الیگودرز,IR018001,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18002,18002,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18002,Azna,شهرستان ازنا,IR018002,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18003,18003,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18003,Borujerd,شهرستان بروجرد,IR018003,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18004,18004,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18004,Delfan,شهرستان دلفان,IR018004,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18005,18005,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18005,Doureh,شهرستان دوره,IR018005,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18006,18006,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18006,Dorud,شهرستان دورود,IR018006,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18007,18007,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18007,Khorramabad,شهرستان خرم‌آباد,IR018007,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18008,18008,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18008,Kuhdasht,شهرستان کوهدشت,IR018008,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18009,18009,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18009,Poldokhtar,شهرستان پلدختر,IR018009,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18010,18010,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18010,Romeshkan,شهرستان رومشکان,IR018010,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:18011,18011,1603:45:16:364:0,1603:45:16:364:1:18,1603:45:16:364:2:18011,Selseleh,شهرستان سلسله,IR018011,,,,,,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19001,19001,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19001,Arak,شهرستان اراک,IR019001,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
