admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Kota Depok,ID3276,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Cimahi,ID3277,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Tasikmalaya,ID3278,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Banjar,ID3279,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Waduk Cirata,ID3288,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Cilacap,ID3301,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Banyumas,ID3302,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Purbalingga,ID3303,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Banjarnegara,ID3304,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kebumen,ID3305,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Purworejo,ID3306,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Wonosobo,ID3307,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Magelang,ID3308,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Boyolali,ID3309,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Klaten,ID3310,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Sukoharjo,ID3311,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Wonogiri,ID3312,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Karanganyar,ID3313,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Sragen,ID3314,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Grobogan,ID3315,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Blora,ID3316,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Rembang,ID3317,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Pati,ID3318,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kudus,ID3319,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Jepara,ID3320,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Demak,ID3321,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Semarang,ID3322,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Temanggung,ID3323,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kendal,ID3324,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Batang,ID3325,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Pekalongan,ID3326,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Pemalang,ID3327,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Tegal,ID3328,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Brebes,ID3329,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kota Magelang,ID3371,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kota Surakarta,ID3372,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kota Salatiga,ID3373,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kota Semarang,ID3374,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kota Pekalongan,ID3375,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kota Tegal,ID3376,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Wadung Kedungombo,ID3388,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Hutan,ID3399,,,,Jawa Tengah,ID33,Indonesia,ID,2019-12-20,2020-04-01,
Kulon Progo,ID3401,,,,Daerah Istimewa Yogyakarta,ID34,Indonesia,ID,2019-12-20,2020-04-01,
Bantul,ID3402,,,,Daerah Istimewa Yogyakarta,ID34,Indonesia,ID,2019-12-20,2020-04-01,
Gunung Kidul,ID3403,,,,Daerah Istimewa Yogyakarta,ID34,Indonesia,ID,2019-12-20,2020-04-01,
