admin2Name_en,admin2Name_bg,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_bg,admin2AltName2_bg,admin1Name_en,admin1Name_bg,admin1Pcode,admin0Name_en,admin0Name_bg,admin0Pcode,date,validOn,validTo
Novi Pazar,,BG016005,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Shumen,,BG016006,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Smiadovo,,BG016007,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Varbitsa,,BG016008,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Veliki Preslav,,BG016009,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Venets,,BG016010,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Alfatar,,BG017001,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dulovo,,BG017002,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
Glavnitsa,,BG017003,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kainardzha,,BG017004,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
Silistra,,BG017005,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sitovo,,BG017006,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
Tutrakan,,BG017007,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kotel,,BG018001,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
Nova Zagora,,BG018002,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sliven,,BG018003,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
Tvarditsa,,BG018004,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
Banite,,BG019001,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Borino,,BG019002,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Chepelare,,BG019003,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Devin,,BG019004,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dospat,,BG019005,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Madan,,BG019006,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Nedelino,,BG019007,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Rudozem,,BG019008,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Smolian,,BG019009,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Zlatograd,,BG019010,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
Anton,,BG020001,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Botevgrad,,BG020002,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Bozhurishte,,BG020003,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Chavdar,,BG020004,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Chelopech,,BG020005,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dolna Bania,,BG020006,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dragoman,,BG020007,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Elin Pelin,,BG020008,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Etropole,,BG020009,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Godech,,BG020010,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Gorna Malina,,BG020011,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Ihtiman,,BG020012,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Koprivshtitsa,,BG020013,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kostenets,,BG020014,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
