admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Yalang,BT01607,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
Trashiyangtse,BT01608,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
Dragteng,BT01701,,,,Trongsa,BT017,Bhutan,BT,2019-02-01,2020-10-30,
Korphu,BT01702,,,,Trongsa,BT017,Bhutan,BT,2019-02-01,2020-10-30,
Langthil,BT01703,,,,Trongsa,BT017,Bhutan,BT,2019-02-01,2020-10-30,
Nubi,BT01704,,,,Trongsa,BT017,Bhutan,BT,2019-02-01,2020-10-30,
Tangsibji,BT01705,,,,Trongsa,BT017,Bhutan,BT,2019-02-01,2020-10-30,
Barzhong,BT01801,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Beteni,BT01802,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Dunglegang,BT01803,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Gosarling,BT01804,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Kikorthang,BT01805,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Mendrelgang,BT01806,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Patakla,BT01807,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Phuentenchhu,BT01808,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Rangthangling,BT01809,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Shemjong,BT01810,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Tsholingkhor,BT01811,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Tsirangtoe,BT01812,,,,Tsirang,BT018,Bhutan,BT,2019-02-01,2020-10-30,
Athang,BT01901,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Bjena,BT01902,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Daga,BT01903,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Dangchhu,BT01904,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Gangte,BT01905,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Gasetsho Gom,BT01906,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Gasetsho Om,BT01907,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Kazhi,BT01908,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Nahi,BT01909,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Nyisho,BT01910,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Phangyuel,BT01911,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Phobji,BT01912,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Ruepisa,BT01913,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Sephu,BT01914,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Thedtsho,BT01915,,,,Wangduephodrang,BT019,Bhutan,BT,2019-02-01,2020-10-30,
Bardo,BT02001,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
Bjoka,BT02002,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
Gozhing,BT02003,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
Nangkor,BT02004,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
Ngangla,BT02005,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
Pangkhar,BT02006,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
Shingkhar,BT02007,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
Trong,BT02008,,,,Zhemgang,BT020,Bhutan,BT,2019-02-01,2020-10-30,
