admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Santa Fe,PH175915000,,,,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Ignacia,PH036915000,,,,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Josefa,PH160310000,,,,Agusan del Sur,PH160300000,Region XIII,PH160000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Lucia,PH012925000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Magdalena,PH056215000,,,,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Marcela,PH148107000,,,,Apayao,PH148100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Margarita,PH086016000,,,,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Maria,PH012926000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Maria,PH015539000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Maria,PH023134000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Maria,PH031423000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Maria,PH043427000,,,,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Maria,PH118604000,,,,Davao Occidental,PH118600000,Region XI,PH110000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Maria,PH175917000,,,,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Monica,PH166721000,,,,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Praxedes,PH021524000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Rita,PH035420000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Rita,PH086017000,,,,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Rosa,PH034928000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Teresita,PH021525000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santa Teresita,PH041027000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santander,PH072245000,,,,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santiago,PH012927000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santiago,PH160210000,,,,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Domingo,PH012928000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Domingo,PH034929000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Domingo,PH050516000,,,,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Niño,PH021526000,Santo Nino,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Niño,PH086018000,Santo Nino,,,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Niño,PH126318000,Santo Nino,,,South Cotabato,PH126300000,Region XII,PH120000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Tomas,PH013317000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Tomas,PH015540000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Tomas,PH023136000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Tomas,PH035421000,,,,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Tomas,PH041028000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santo Tomas,PH112318000,,,,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH,2016-06-30,2020-05-29,
Santol,PH013318000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Sapa-Sapa,PH157010000,,,,Tawi-Tawi,PH157000000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2016-06-30,2020-05-29,
Sapad,PH103519000,,,,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH,2016-06-30,2020-05-29,
Sapang Dalaga,PH104213000,,,,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH,2016-06-30,2020-05-29,
Sapi-An,PH061915000,,,,Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH,2016-06-30,2020-05-29,
Sara,PH063044000,,,,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH,2016-06-30,2020-05-29,
Sarangani,PH118605000,,,,Davao Occidental,PH118600000,Region XI,PH110000000,Philippines (the),PH,2016-06-30,2020-05-29,
Sariaya,PH045645000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
