admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Kamajei,SL030307,Kamajei,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kongbora,SL030308,Kongbora,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kori,SL030309,Kori,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kowa,SL030310,Kowa,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Banta,SL030311,Lower Banta,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Ribbi,SL030312,Ribbi,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Timdale,SL030313,Timdale,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Banta,SL030314,Upper Banta,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Barri,SL030401,Barri,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Galliness Perri,SL030402,Galliness Perri,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kpaka,SL030403,Kpaka,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Panga Kabonde,SL030404,Panga Kabonde,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Makpele,SL030405,Makpele,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Malen,SL030406,Malen,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Mono Sakrim,SL030407,Mono Sakrim,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Panga krim,SL030408,Panga krim,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Pejeh(Futa peje,SL030409,Pejeh(Futa peje,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Soro Gbema,SL030410,Soro Gbema,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Sowa,SL030411,Sowa,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Yakemu Kpukumu,SL030412,Yakemu Kpukumu,,,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Koya Rural,SL040101,Koya Rural,,,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
Mountain Rural,SL040102,Mountain Rural,,,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
Waterloo Rural,SL040103,Waterloo Rural,,,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
York Rural,SL040104,York Rural,,,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
Central I,SL040201,Central I,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
Central II,SL040202,Central II,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
East I,SL040203,East I,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
East II,SL040204,East II,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
East III,SL040205,East III,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
West I,SL040206,West I,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
West II,SL040207,West II,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
West III,SL040208,West III,,,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
