#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:100:2:24002,24002,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24002,Avren,,BG024002,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24003,24003,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24003,Beloslav,,BG024003,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24004,24004,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24004,Byala,,BG024004,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24005,24005,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24005,Dalgopol,,BG024005,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24006,24006,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24006,Devnia,,BG024006,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24007,24007,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24007,Dolni Chiflik,,BG024007,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24008,24008,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24008,Provadia,,BG024008,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24009,24009,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24009,Suvorovo,,BG024009,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24010,24010,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24010,Valchi Dol,,BG024010,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24011,24011,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24011,Varna,,BG024011,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24012,24012,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24012,Vetrino,,BG024012,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25001,25001,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25001,Elena,,BG025001,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25002,25002,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25002,Gorna Oriahovitsa,,BG025002,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25003,25003,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25003,Liaskovets,,BG025003,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25004,25004,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25004,Pavlikeni,,BG025004,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25005,25005,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25005,Polski Trambesh,,BG025005,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25006,25006,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25006,Strazhitsa,,BG025006,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25007,25007,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25007,Suhindol,,BG025007,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25008,25008,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25008,Svishtov,,BG025008,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25009,25009,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25009,Veliko Tarnovo,,BG025009,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:25010,25010,1603:45:16:100:0,1603:45:16:100:1:25,1603:45:16:100:2:25010,Zlataritsa,,BG025010,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26001,26001,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26001,Belogradchik,,BG026001,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26002,26002,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26002,Boinitsa,,BG026002,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26003,26003,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26003,Bregovo,,BG026003,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26004,26004,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26004,Chuprene,,BG026004,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26005,26005,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26005,Dimovo,,BG026005,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26006,26006,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26006,Gramada,,BG026006,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26007,26007,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26007,Kula,,BG026007,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26008,26008,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26008,Makresh,,BG026008,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26009,26009,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26009,Novo Selo,,BG026009,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26010,26010,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26010,Ruzhintsi,,BG026010,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:26011,26011,1603:45:16:100:0,1603:45:16:100:1:26,1603:45:16:100:2:26011,Vidin,,BG026011,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27001,27001,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27001,Biala Slatina,,BG027001,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27002,27002,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27002,Borovan,,BG027002,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27003,27003,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27003,Hairedin,,BG027003,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27004,27004,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27004,Kozlodui,,BG027004,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27005,27005,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27005,Krivodol,,BG027005,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27006,27006,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27006,Mezdra,,BG027006,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27007,27007,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27007,Mizia,,BG027007,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27008,27008,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27008,Oryahovo,,BG027008,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27009,27009,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27009,Roman,,BG027009,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:27010,27010,1603:45:16:100:0,1603:45:16:100:1:27,1603:45:16:100:2:27010,Vratsa,,BG027010,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:28001,28001,1603:45:16:100:0,1603:45:16:100:1:28,1603:45:16:100:2:28001,Boliarovo,,BG028001,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:28002,28002,1603:45:16:100:0,1603:45:16:100:1:28,1603:45:16:100:2:28002,Elhovo,,BG028002,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:28003,28003,1603:45:16:100:0,1603:45:16:100:1:28,1603:45:16:100:2:28003,Straldzha,,BG028003,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:28004,28004,1603:45:16:100:0,1603:45:16:100:1:28,1603:45:16:100:2:28004,Tundzha,,BG028004,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:28005,28005,1603:45:16:100:0,1603:45:16:100:1:28,1603:45:16:100:2:28005,Yambol,,BG028005,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
