#meta,#meta+archivum,#meta+caput
1603.45.16:,bol.xlsx,admin1RefName
1603.45.16:,bol.xlsx,admin1AltName1_es
1603.45.16:,bol.xlsx,admin1AltName2_es
1603.45.16:,bol.xlsx,admin0Name_es
1603.45.16:,bol.xlsx,admin0Pcode
1603.45.16:,bol.xlsx,date
1603.45.16:,bol.xlsx,validOn
1603.45.16:,bol.xlsx,validTo
1603.45.16:,bol.xlsx,admin0Name_es
1603.45.16:,bol.xlsx,admin0Pcode
1603.45.16:,bol.xlsx,admin0RefName
1603.45.16:,bol.xlsx,admin0AltName1_es
1603.45.16:,bol.xlsx,admin0AltName2_es
1603.45.16:,bol.xlsx,date
1603.45.16:,bol.xlsx,validOn
1603.45.16:,bol.xlsx,validTo
1603.45.16:,bra.xlsx,admin2Name_pt
1603.45.16:,bra.xlsx,admin2Pcode
1603.45.16:,bra.xlsx,admin2RefName
1603.45.16:,bra.xlsx,admin2AltName1_pt
1603.45.16:,bra.xlsx,admin2AltName2_pt
1603.45.16:,bra.xlsx,admin1Name_pt
1603.45.16:,bra.xlsx,admin1Pcode
1603.45.16:,bra.xlsx,admin0Name_pt
1603.45.16:,bra.xlsx,admin0Pcode
1603.45.16:,bra.xlsx,date
1603.45.16:,bra.xlsx,validOn
1603.45.16:,bra.xlsx,validTo
1603.45.16:,bra.xlsx,admin1Name_pt
1603.45.16:,bra.xlsx,admin1Pcode
1603.45.16:,bra.xlsx,admin1RefName
1603.45.16:,bra.xlsx,admin1AltName1_pt
1603.45.16:,bra.xlsx,admin1AltName2_pt
1603.45.16:,bra.xlsx,admin0Name_pt
1603.45.16:,bra.xlsx,admin0Pcode
1603.45.16:,bra.xlsx,date
1603.45.16:,bra.xlsx,validOn
1603.45.16:,bra.xlsx,validTo
1603.45.16:,bra.xlsx,admin0Name_pt
1603.45.16:,bra.xlsx,admin0Pcode
1603.45.16:,bra.xlsx,admin0RefName
1603.45.16:,bra.xlsx,admin0AltName1_pt
1603.45.16:,bra.xlsx,admin0AltName2_pt
1603.45.16:,bra.xlsx,date
1603.45.16:,bra.xlsx,validOn
1603.45.16:,bra.xlsx,validTo
1603.45.16:,btn.xlsx,admin2Name_en
1603.45.16:,btn.xlsx,admin2Pcode
1603.45.16:,btn.xlsx,admin2RefName
1603.45.16:,btn.xlsx,admin2AltName1_en
1603.45.16:,btn.xlsx,admin2AltName2_en
1603.45.16:,btn.xlsx,admin1Name_en
1603.45.16:,btn.xlsx,admin1Pcode
1603.45.16:,btn.xlsx,admin0Name_en
1603.45.16:,btn.xlsx,admin0Pcode
1603.45.16:,btn.xlsx,date
1603.45.16:,btn.xlsx,validOn
1603.45.16:,btn.xlsx,validTo
1603.45.16:,btn.xlsx,admin1Name_en
1603.45.16:,btn.xlsx,admin1Pcode
1603.45.16:,btn.xlsx,admin1RefName
1603.45.16:,btn.xlsx,admin1AltName1_en
1603.45.16:,btn.xlsx,admin1AltName2_en
1603.45.16:,btn.xlsx,admin0Name_en
1603.45.16:,btn.xlsx,admin0Pcode
1603.45.16:,btn.xlsx,date
1603.45.16:,btn.xlsx,validOn
1603.45.16:,btn.xlsx,validTo
1603.45.16:,btn.xlsx,admin0Name_en
1603.45.16:,btn.xlsx,admin0Pcode
1603.45.16:,btn.xlsx,admin0RefName
1603.45.16:,btn.xlsx,admin0AltName1_en
1603.45.16:,btn.xlsx,admin0AltName2_en
1603.45.16:,btn.xlsx,date
1603.45.16:,btn.xlsx,validOn
1603.45.16:,btn.xlsx,validTo
1603.45.16:,caf.xlsx,admin4Name_fr
1603.45.16:,caf.xlsx,admin4Pcode
1603.45.16:,caf.xlsx,admin4RefName
1603.45.16:,caf.xlsx,admin4AltName1_fr
1603.45.16:,caf.xlsx,admin4AltName2_fr
1603.45.16:,caf.xlsx,admin3Name_fr
1603.45.16:,caf.xlsx,admin3Pcode
1603.45.16:,caf.xlsx,admin1Name_fr
1603.45.16:,caf.xlsx,admin1Pcode
1603.45.16:,caf.xlsx,admin2Name_fr
1603.45.16:,caf.xlsx,admin2Pcode
