#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:504:2:9004,9004,1603:45:16:504:0,1603:45:16:504:1:9,1603:45:16:504:2:9004,Taroudant Province, ,MA009004,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:9005,9005,1603:45:16:504:0,1603:45:16:504:1:9,1603:45:16:504:2:9005,Tata Province, ,MA009005,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:9006,9006,1603:45:16:504:0,1603:45:16:504:1:9,1603:45:16:504:2:9006,Tiznit Province, ,MA009006,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10001,10001,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10001,Al Hoceima Province, ,MA010001,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10002,10002,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10002,Chefchaouen Province, ,MA010002,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10003,10003,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10003,Fahs Anjra Province, ,MA010003,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10004,10004,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10004,Larache Province, ,MA010004,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10005,10005,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10005,Prefecture de M diq Fnideq, ,MA010005,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10006,10006,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10006,Prefecture of Tangier Assilah, ,MA010006,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10007,10007,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10007,Province d Ouezzane, ,MA010007,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:10008,10008,1603:45:16:504:0,1603:45:16:504:1:10,1603:45:16:504:2:10008,Tetouan Province, ,MA010008,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
