#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:496:2:6434,6434,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6434,Galuut,Галуут,MN6434,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6437,6437,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6437,Gurvanbulag,Гурванбулаг,MN6437,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6440,6440,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6440,Jargalant,Жаргалант,MN6440,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6443,6443,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6443,Jinst,Жинст,MN6443,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6446,6446,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6446,Zag,Заг,MN6446,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6449,6449,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6449,O'lziit,Өлзийт,MN6449,Olziit,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6452,6452,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6452,Xu'reemaral,Хүрээмарал,MN6452,Xureemaral,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6455,6455,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6455,Shinejinst,Шинэжинст,MN6455,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6458,6458,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6458,Erdenecogt,Эрдэнэцогт,MN6458,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6501,6501,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6501,Erdenebulgan,Эрдэнэбулган,MN6501,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6504,6504,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6504,Batcengel,Батцэнгэл,MN6504,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6507,6507,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6507,Bulgan,Булган,MN6507,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6510,6510,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6510,Jargalant,Жаргалант,MN6510,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6513,6513,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6513,Ixtamir,Их тамир,MN6513,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6516,6516,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6516,O'giinuur,Өгийнуур,MN6516,Ogiinuur,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6519,6519,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6519,O'lziit,Өлзийт,MN6519,Olziit,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6522,6522,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6522,O'ndor-Ulaan,Өндөр-Улаан,MN6522,Ondor-Ulaan,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6525,6525,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6525,Tariat,Тариат,MN6525,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6528,6528,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6528,To'vshru'ulex,Төвшрүүлэх,MN6528,Tovshruulex,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6531,6531,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6531,Xairxan,Хайрхан,MN6531,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6534,6534,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6534,Xangai,Хангай,MN6534,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6537,6537,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6537,Xashaat,Хашаат,MN6537,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6540,6540,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6540,Xotont,Хотонт,MN6540,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6543,6543,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6543,Caxir,Цахир,MN6543,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6546,6546,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6546,Cenxer,Цэнхэр,MN6546,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6549,6549,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6549,Cecerleg,Цэцэрлэг,MN6549,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6552,6552,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6552,Chuluut,Чулуут,MN6552,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6555,6555,1603:45:16:496:0,1603:45:16:496:1:65,1603:45:16:496:2:6555,Erdenemandal,Эрдэнэмандал,MN6555,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6701,6701,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6701,Mo'ron,Мөрөн,MN6701,Moron,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6704,6704,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6704,Alag-Erdene,Алаг-Эрдэнэ,MN6704,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6707,6707,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6707,Arbulag,Арбулаг,MN6707,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6710,6710,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6710,Bayanzu'rx,Баянзүрх,MN6710,Bayanzurx,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6713,6713,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6713,Bu'rentogtox,Бүрэнтогтох,MN6713,Burentogtox,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6716,6716,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6716,Galt,Галт,MN6716,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6719,6719,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6719,Jargalant,Жаргалант,MN6719,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6722,6722,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6722,Ix-Uul,Их-Уул,MN6722,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6725,6725,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6725,Rashaant,Рашаант,MN6725,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6728,6728,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6728,Renchinlxu'mbe,Рэнчинлхүмбэ,MN6728,Renchinlxumbe,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6731,6731,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6731,Tarialan,Тариалан,MN6731,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6734,6734,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6734,Tosoncengel,Тосонцэнгэл,MN6734,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6737,6737,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6737,To'morbulag,Төмөрбулаг,MN6737,Tomorbulag,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6740,6740,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6740,Tu'nel,Түнэл,MN6740,Tunel,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6743,6743,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6743,Ulaan uul,Улаан-Уул,MN6743,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6746,6746,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6746,Xanx,Ханх,MN6746,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6749,6749,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6749,Cagaannuur,Цагааннуур,MN6749,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6752,6752,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6752,Cagaan-Uul,Цагаан-Уул,MN6752,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6755,6755,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6755,Cagaan-U'ur,Цагаан-Үүр,MN6755,Cagaan-Uur,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6758,6758,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6758,Cecerleg,Цэцэрлэг,MN6758,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6761,6761,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6761,Chandmani-O'ndor,Чандмань-Өндөр,MN6761,Chandmani-Ondor,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6764,6764,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6764,Shine-Ider,Шинэ-Идэр,MN6764,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6767,6767,1603:45:16:496:0,1603:45:16:496:1:67,1603:45:16:496:2:6767,Erdenebulgan,Эрдэнэбулган,MN6767,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8101,8101,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8101,Uliastai,Улиастай,MN8101,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8104,8104,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8104,Aldarxaan,Алдархаан,MN8104,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8107,8107,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8107,Asgat,Асгат,MN8107,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8110,8110,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8110,Bayantes,Баянтэс,MN8110,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8113,8113,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8113,Bayanxairxan,Баянхайрхан,MN8113,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8116,8116,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8116,Do'rvoljin,Дөрвөлжин,MN8116,Dorvoljin,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8119,8119,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8119,Zavxanmandal,Завханмандал,MN8119,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8122,8122,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8122,Ider,Идэр,MN8122,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8125,8125,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8125,Ix-Uul,Их-Уул,MN8125,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8128,8128,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8128,No'mrog,Нөмрөг,MN8128,Nomrog,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8131,8131,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8131,Otgon,Отгон,MN8131,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8134,8134,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8134,Santmargac,Сантмаргац,MN8134,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8137,8137,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8137,Songino,Сонгино,MN8137,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8140,8140,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8140,Tosoncengel,Тосонцэнгэл,MN8140,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8143,8143,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8143,Tu'devtei,Түдэвтэй,MN8143,Tudevtei,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8146,8146,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8146,Telmen,Тэлмэн,MN8146,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8149,8149,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8149,Tes,Тэс,MN8149,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8152,8152,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8152,Urgamal,Ургамал,MN8152,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8155,8155,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8155,Cagaanxairxan,Цагаанхайрхан,MN8155,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8158,8158,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8158,Cagaanchuluut,Цагаанчулуут,MN8158,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8161,8161,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8161,Cecen-Uul,Цэцэн-Уул,MN8161,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8164,8164,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8164,Shilu'ustei,Шилүүстэй,MN8164,Shiluustei,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8167,8167,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8167,Erdenexairxan,Эрдэнэхайрхан,MN8167,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8170,8170,1603:45:16:496:0,1603:45:16:496:1:81,1603:45:16:496:2:8170,Yaruu,Яруу,MN8170,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8201,8201,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8201,Yeso'nbulag,Есөнбулаг,MN8201,Yesonbulag,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8204,8204,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8204,Altai,Алтай,MN8204,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8207,8207,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8207,Bayan-Uul,Баян-Уул,MN8207,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8210,8210,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8210,Biger,Бигэр,MN8210,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8213,8213,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8213,Bugat,Бугат,MN8213,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8216,8216,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8216,Darvi,Дарив,MN8216,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8219,8219,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8219,Delger,Дэлгэр,MN8219,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8222,8222,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8222,Jargalan,Жаргалан,MN8222,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8225,8225,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8225,Taishir,Тайшир,MN8225,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8228,8228,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8228,Tonkhil,Тонхил,MN8228,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8231,8231,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8231,To'grog,Төгрөг,MN8231,Togrog,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8234,8234,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8234,Xaliun,Халиун,MN8234,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8237,8237,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8237,Xo'xmorit,Хөхморьт,MN8237,Xoxmorit,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8240,8240,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8240,Cogt,Цогт,MN8240,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8243,8243,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8243,Ceel,Цээл,MN8243,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8246,8246,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8246,Chandmani,Чандмань,MN8246,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8249,8249,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8249,Sharga,Шарга,MN8249,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8252,8252,1603:45:16:496:0,1603:45:16:496:1:82,1603:45:16:496:2:8252,Erdene,Эрдэнэ,MN8252,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8301,8301,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8301,O'lgii,Өлгий,MN8301,Olgii,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8304,8304,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8304,Altai,Алтай,MN8304,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8307,8307,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8307,Altanco'gc,Алтанцөгц,MN8307,Altancogc,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8310,8310,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8310,Bayannuur,Баяннуур,MN8310,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8313,8313,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8313,Bugat,Бугат,MN8313,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8316,8316,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8316,Bulgan,Булган,MN8316,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8319,8319,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8319,Buyant,Буянт,MN8319,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8322,8322,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8322,Delu'un,Дэлүүн,MN8322,Deluun,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:8325,8325,1603:45:16:496:0,1603:45:16:496:1:83,1603:45:16:496:2:8325,Nogoonnuur,Ногооннуур,MN8325,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2020-10-26,2021-02-11,
