Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Unique identifier (Latin script),Normalized CSV-like identifier; suffix affinity (lat: suffīxum),HXL Standard attribute,Significātum in Lingua Latina,Wikidata QID; language,Wikidata Q Code for writting system,Wikidata Language ID,Glottocode Langoid,Glottolog IRI,ISO 639-3 a3,ISO 639-3 a3 IRI,Cōdex factō,Cōdex factō; meta,q
291,60,19,kaz-Latn,__i_kaz__is_latn,+i_kaz+is_latn,Lingua Kazachica (Abecedarium Latinum),Q64362993,Q8229,kk-latn,kaza1248,https://glottolog.org/resource/languoid/id/kaza1248,kaz,https://iso639-3.sil.org/code/kaz,,,
292,60,19,kal-Latn,__i_kal__is_latn,+i_kal+is_latn,Lingua Groenlandica (Abecedarium Latinum),Q25355,Q8229,kl,kala1399,https://glottolog.org/resource/languoid/id/kala1399,kal,https://iso639-3.sil.org/code/kal,,,
293,60,19,krc-Cyrl,__i_krc__is_cyrl,+i_krc+is_cyrl,Lingua Karaczaevo-Balcarica (Abecedarium Cyrillicum),Q33714,Q8209,krc,kara1465,https://glottolog.org/resource/languoid/id/kara1465,krc,https://iso639-3.sil.org/code/krc,,,
294,11,11,kur-Zyyy,__i_kur__is_zyyy,+i_kur+is_zyyy,Macrolingua Curdica (/ISO 15924 Zyyy/),Q36368,,ku,kurd1259,https://glottolog.org/resource/languoid/id/kurd1259,kur,https://iso639-3.sil.org/code/kur,,,
295,11,11,kur-Arab,__i_kur__is_arab,+i_kur+is_arab,Macrolingua Curdica (Abecedarium Arabicum),Q64362996,Q8196,ku-arab,,,kur,https://iso639-3.sil.org/code/kur,,,
296,11,11,kur-Latn,__i_kur__is_latn,+i_kur+is_latn,Macrolingua Curdica (Abecedarium Latinum),Q64362997,Q8229,ku-latn,,,kur,https://iso639-3.sil.org/code/kur,,,
297,60,19,kmr-Zyyy,__i_kmr__is_zyyy,+i_kmr+is_zyyy,/Northern Kurdish/ (/ISO 15924 Zyyy/),Q36163,,,nort2641,https://glottolog.org/resource/languoid/id/nort2641,kmr,https://iso639-3.sil.org/code/kmr,,,
298,60,19,ckb-Arab,__i_ckb__is_arab,+i_ckb+is_arab,/Central Kurdish/ (Abecedarium Arabicum),Q36811,Q8196,ckb,cent1972,https://glottolog.org/resource/languoid/id/cent1972,ckb,https://iso639-3.sil.org/code/ckb,,,
299,60,19,sdh-Arab,__i_sdh__is_arab,+i_sdh+is_arab,/Southern Kurdish/ (Abecedarium Arabicum),Q1496597,Q8196,sdh,sout2640,https://glottolog.org/resource/languoid/id/sout2640,sdh,https://iso639-3.sil.org/code/sdh,,,
300,11,11,kpv-Cyrl,__i_kpv__is_cyrl,+i_kpv+is_cyrl,Macrolingua Komiensis (Abecedarium Cyrillicum),Q36126,Q8209,kv,komi1268,https://glottolog.org/resource/languoid/id/komi1268,kpv,https://iso639-3.sil.org/code/kpv,,,
301,60,19,koi-Cyrl,__i_koi__is_cyrl,+i_koi+is_cyrl,/Permyak language/ (Abecedarium Cyrillicum),Q56318,Q8209,koi,komi1269,https://glottolog.org/resource/languoid/id/komi1269,koi,https://iso639-3.sil.org/code/koi,,,
302,60,19,cor-Latn,__i_cor__is_latn,+i_cor+is_latn,Lingua Cornubica (Abecedarium Latinum),Q25289,Q8229,kw,corn1251,https://glottolog.org/resource/languoid/id/corn1251,cor,https://iso639-3.sil.org/code/cor,,,
303,60,19,kir-Zyyy,__i_kir__is_zyyy,+i_kir+is_zyyy,Lingua Kyrgyzensis (/ISO 15924 Zyyy/),Q9255,,ky,kirg1245,https://glottolog.org/resource/languoid/id/kirg1245,kir,https://iso639-3.sil.org/code/kir,,,
304,60,19,kir-Arab,__i_kir__is_arab,+i_kir+is_arab,Lingua Kyrgyzensis (Abecedarium Arabicum),Q95397566,Q8196,ky-arab,kirg1245,https://glottolog.org/resource/languoid/id/kirg1245,kir,https://iso639-3.sil.org/code/kir,,,
305,60,19,kir-Cyrl,__i_kir__is_cyrl,+i_kir+is_cyrl,Lingua Kyrgyzensis (Abecedarium Cyrillicum),Q94989582,Q8209,ky-cyrl,kirg1245,https://glottolog.org/resource/languoid/id/kirg1245,kir,https://iso639-3.sil.org/code/kir,,,
306,60,19,lld-Latn,__i_lld__is_latn,+i_lld+is_latn,/Lingua Ladina-Dolomiana/ (Abecedarium Latinum),Q36202,Q8229,lld,ladi1250,https://glottolog.org/resource/languoid/id/ladi1250,lld,https://iso639-3.sil.org/code/lld,,,
307,60,19,lin-Latn,__i_lin__is_latn,+i_lin+is_latn,/Lingala/ (Abecedarium Latinum),Q36217,Q8229,ln,ling1263,https://glottolog.org/resource/languoid/id/ling1263,lin,https://iso639-3.sil.org/code/lin,,,
308,11,11,mlg-Latn,__i_mlg__is_latn,+i_mlg+is_latn,Macrolingua Malagasiensis (Abecedarium Latinum),Q7930,Q8229,mg,,,mlg,https://iso639-3.sil.org/code/mlg,,,
309,60,19,mkd-Cyrl,__i_mkd__is_cyrl,+i_mkd+is_cyrl,Lingua Macedonica (Abecedarium Cyrillicum),Q9296,Q8209,mk,mace1250,https://glottolog.org/resource/languoid/id/mace1250,mkd,https://iso639-3.sil.org/code/mkd,,,
310,11,11,mon-Cyrl,__i_mon__is_cyrl,+i_mon+is_cyrl,Macrolingua Mongolica (Abecedarium Cyrillicum),Q9246,Q8209,mn,mong1331,https://glottolog.org/resource/languoid/id/mong1331,mon,https://iso639-3.sil.org/code/mon,,,
311,60,19,mlt-Latn,__i_mlt__is_latn,+i_mlt+is_latn,Lingua Melitensis (Abecedarium Latinum),Q9166,Q8229,mt,malt1254,https://glottolog.org/resource/languoid/id/malt1254,mlt,https://iso639-3.sil.org/code/mlt,,,
312,60,19,mya-Mymr,__i_mya__is_mymr,+i_mya+is_mymr,Lingua Birmanica (/ISO 15924 Mymr/),Q9228,Q43887939,my,nucl1310,https://glottolog.org/resource/languoid/id/nucl1310,mya,https://iso639-3.sil.org/code/mya,,,
313,60,19,tvn-Mymr,__i_tvn__is_mymr,+i_tvn+is_mymr,/Tavoyan dialects/ (/ISO 15924 Mymr/),Q7689158,Q43887939,tvn,tavo1242,https://glottolog.org/resource/languoid/id/tavo1242,tvn,https://iso639-3.sil.org/code/tvn,,,
314,60,19,rki-Mymr,__i_rki__is_mymr,+i_rki+is_mymr,/Arakanese language/ (/ISO 15924 Mymr/),Q3450749,Q43887939,rki,rakh1245,https://glottolog.org/resource/languoid/id/rakh1245,rki,https://iso639-3.sil.org/code/rki,,,
315,11,11,nep-Deva,__i_nep__is_deva,+i_nep+is_deva,Macrolingua Nepalensis (Devanāgarī),Q33823,Q38592,ne,east1436,https://glottolog.org/resource/languoid/id/east1436,nep,https://iso639-3.sil.org/code/nep,,,
316,60,19,dty-Deva,__i_dty__is_deva,+i_dty+is_deva,/Dotyali/ (Devanāgarī),Q18415595,Q38592,dty,doty1234,https://glottolog.org/resource/languoid/id/doty1234,dty,https://iso639-3.sil.org/code/dty,,,
317,60,19,nav-Latn,__i_nav__is_latn,+i_nav+is_latn,/Navajo/ (Abecedarium Arabicum),Q13310,Q8229,nv,nava1243,https://glottolog.org/resource/languoid/id/nava1243,nav,https://iso639-3.sil.org/code/nav,,,
318,60,19,oss-Cyrl,__i_oss__is_cyrl,+i_oss+is_cyrl,Lingua Ossetica (Abecedarium Cyrillicum),Q33968,Q8209,os,iron1242,https://glottolog.org/resource/languoid/id/iron1242,oss,https://iso639-3.sil.org/code/oss,,,
319,11,11,pus-Arab,__i_pus__is_arab,+i_pus+is_arab,Macrolingua Afganica (Abecedarium Arabicum),Q58680,Q8229,ps,nucl1276,https://glottolog.org/resource/languoid/id/nucl1276,pus,https://iso639-3.sil.org/code/pus,,,
320,11,11,que-Latn,__i_que__is_latn,+i_que+is_latn,Macrolinguae Quechuae (Abecedarium Latinum),Q5218,Q8229,qu,,,que,https://iso639-3.sil.org/code/que,,,
321,60,19,kin-Latn,__i_kin__is_latn,+i_kin+is_latn,/Kinyarwanda/ (Abecedarium Latinum),Q33573,Q8229,rw,kiny1244,https://glottolog.org/resource/languoid/id/kiny1244,kin,https://iso639-3.sil.org/code/kin,,,
322,60,19,snd-Arab,__i_snd__is_arab,+i_snd+is_arab,Lingua Sindhuica (Abecedarium Arabicum),Q33997,Q8229,sd,sind1272,https://glottolog.org/resource/languoid/id/sind1272,snd,https://iso639-3.sil.org/code/snd,,,
323,60,19,sme-Latn,__i_sme__is_latn,+i_sme+is_latn,Lingua Samica septentrionalis (Abecedarium Latinum),Q33947,Q8229,se,nort2671,https://glottolog.org/resource/languoid/id/nort2671,sme,https://iso639-3.sil.org/code/sme,,,
324,60,19,smo-Latn,__i_smo__is_latn,+i_smo+is_latn,Lingua Samoana (Abecedarium Latinum),Q34011,Q8229,sm,samo1305,https://glottolog.org/resource/languoid/id/samo1305,smo,https://iso639-3.sil.org/code/smo,,,
325,60,19,sna-Latn,__i_sna__is_latn,+i_sna+is_latn,/Shona/ (Abecedarium Latinum),Q34004,Q8229,sn,shon1251,https://glottolog.org/resource/languoid/id/shon1251,sna,https://iso639-3.sil.org/code/sna,,,
326,60,19,som-Latn,__i_som__is_latn,+i_som+is_latn,Lingua Somalica (Abecedarium Latinum),Q13275,Q8229,so,soma1255,https://glottolog.org/resource/languoid/id/soma1255,som,https://iso639-3.sil.org/code/som,,,
327,60,19,ssw-Latn,__i_ssw__is_latn,+i_ssw+is_latn,/Swati/ (Abecedarium Latinum),Q34014,Q8229,ss,swat1243,https://glottolog.org/resource/languoid/id/swat1243,ssw,https://iso639-3.sil.org/code/ssw,,,
328,60,19,tgk-Zyyy,__i_tgk__is_zyyy,+i_tgk+is_zyyy,Lingua Tadzikica (/ISO 15924 Zyyy/),Q9260,,tg,taji1245,https://glottolog.org/resource/languoid/id/taji1245,tgk,https://iso639-3.sil.org/code/tgk,,,
329,60,19,tgk-Cyrl,__i_tgk__is_cyrl,+i_tgk+is_cyrl,Lingua Tadzikica (Abecedarium Cyrillicum),Q64363004,Q8209,tg-cyrl,taji1245,https://glottolog.org/resource/languoid/id/taji1245,,,,,
330,60,19,tgk-Latn,__i_tgk__is_latn,+i_tgk+is_latn,Lingua Tadzikica (Abecedarium Latinum),Q64363005,Q8229,tg-latn,taji1245,https://glottolog.org/resource/languoid/id/taji1245,,,,,
399,60,19,zul-Latn,__i_zul__is_latn,+i_zul+is_latn,Lingua Zuluana (Abecedarium Latinum),Q10179,Q8229,zu,zulu1248,https://glottolog.org/resource/languoid/id/zulu1248,zul,https://iso639-3.sil.org/code/zul,,,
800,60,19,vol-Latn,__i_vol__is_latn,+i_vol+is_latn,Volapük (Abecedarium Latinum),Q36986,Q8229,vo,vola1234,https://glottolog.org/resource/languoid/id/vola1234,vol,https://iso639-3.sil.org/code/vol,,,
801,60,19,ina-Latn,__i_ina__is_latn,+i_ina+is_latn,Interlingua (Abecedarium Latinum),Q35934,Q8229,ia,inte1239,https://glottolog.org/resource/languoid/id/inte1239,ina,https://iso639-3.sil.org/code/ina,,,
802,60,19,ile-Latn,__i_ile__is_latn,+i_ile+is_latn,Lingua Occidental (Abecedarium Latinum),Q35850,Q8229,ie,inte1260,https://glottolog.org/resource/languoid/id/inte1260,ile,https://iso639-3.sil.org/code/ile,,,
803,60,19,jbo-Latn,__i_jbo__is_latn,+i_jbo+is_latn,Lojban (Abecedarium Latinum),Q36350,Q8229,jbo,lojb1234,https://glottolog.org/resource/languoid/id/lojb1234,jbo,https://iso639-3.sil.org/code/jbo,,,
804,60,19,nov-Latn,__i_nov__is_latn,+i_nov+is_latn,Lingua Novial (Abecedarium Latinum),Q36738,Q8229,nov,novi1234,https://glottolog.org/resource/languoid/id/novi1234,nov,https://iso639-3.sil.org/code/nov,,,
805,60,19,ido-Latn,__i_ido__is_latn,+i_ido+is_latn,Ido (Abecedarium Latinum),Q35224,Q8229,io,idoo1234,https://glottolog.org/resource/languoid/id/idoo1234,ido,https://iso639-3.sil.org/code/ido,,,
806,60,19,lfn-Latn,__i_lfn__is_latn,+i_lfn+is_latn,Lingua Franca Nova (Abecedarium Latinum),Q146803,Q8229,lfn,ling1267,https://glottolog.org/resource/languoid/id/ling1267,lfn,https://iso639-3.sil.org/code/lfn,,,
900,25,11,mul-Zxxx,__i_mul__is_zxxx,+i_mul+is_zxxx,/multiple languages/ (?),Q20923490,,mul,,,mul,https://iso639-3.sil.org/code/mul,,,
901,25,11,und-Zxxx,__i_und__is_zxxx,+i_und+is_zxxx,/undetermined language/ (?),Q22282914,,und,,,und,https://iso639-3.sil.org/code/und,,,
902,25,11,zxx-Zxxx,__i_zxx__is_zxxx,+i_zxx+is_zxxx,/no linguistic content/ (?),Q22282939,,zxx,,,zxx,https://iso639-3.sil.org/code/zxx,,,
