#adm3+name+i_eng+is_latn,#adm3+name+i_sin+is_sinh,#adm3+name+i_tam+is_taml,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_sin+is_sinh,#adm3+name+alt2+i_sin+is_sinh,#adm3+name+alt1+i_tam+is_taml,#adm3+name+alt2+i_tam+is_taml,#adm2+name+i_eng+is_latn,#adm2+name+i_sin+is_sinh,#adm2+name+i_tam+is_taml,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_sin+is_sinh,#adm1+name+i_tam+is_taml,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_sin+is_sinh,#country+name+i_tam+is_taml,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Gangawata Korale,ගඟවටකෝරලේ,கண்டி,LK2130,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Harispattuwa,හාරිස්පත්තුව,கரிஸ்பத்துவை,LK2133,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Hatharaliyadda,හතරලියද්ද,கத்தராலியட்டை,LK2134,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Yatinuwara,යටිනුවර,யட்டிநுவரை,LK2136,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Udunuwara,උඩුනුවර,உடுநுவரை,LK2139,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Doluwa,දොලුව,டொலுவை,LK2142,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Pathahewaheta,පාතහේවාහැට,பாத்ததேவாகிட்டை,LK2145,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Deltota,දෙල්තොට,தெல்தோட்டை,LK2148,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Udapalatha,උඩපළාත,உடபத்தளை,LK2151,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ganga Ihala Korale,ගඟඉහළකෝරලේ,கங்கா இகலை,LK2154,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Pasbagekorale,පස්බාගේකෝරලේ,பஸ்பாகே கோரளை,LK2157,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Galewela,ගලේවෙල,கலேவளை,LK2203,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Dambulla,දඹුල්ල,தம்புள்ளை,LK2206,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Naula,නාඋල,நாவுலை,LK2209,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Pallepola,පල්ලේපොල,பல்லேபொளை,LK2212,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Yatawatta,යටවත්ත,யட்டவத்தை,LK2215,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Matale,මාතලේ,மாத்தளை,LK2218,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ambanganga,අඹන්ගඟ,அம்பன்கங்கை கோரளை,LK2221,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Laggala,ලග්ගල,லக்கலை-பல்லேகமை,LK2224,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Wilgamuwa,විල්ගමුව,வில்கமுவை,LK2227,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Rattota,රත්තොට,ரத்தோட்டை,LK2230,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ukuwela,උකුවෙල,உக்குவெலை,LK2233,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kothmale,කොත්මලේ,கொத்மலை,LK2303,,,,,,,,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Hanguranketa,හගුරන්කේත,ஹங்குரன்கெத்தை,LK2306,,,,,,,,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
