#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Gidan,ET030303,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Meket,ET030304,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Wadla,ET030305,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Hara town,ET030306,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Guba Lafto,ET030307,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Habru,ET030308,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Woldiya town,ET030309,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Lasta,ET030310,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Dawunt,ET030311,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Gazo,ET030312,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Angot,ET030313,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Filakit town,ET030314,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Gashena town,ET030315,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Mersa town,ET030397,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
