#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Kuawuma,SL01021506,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Taninahun,SL01021507,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Boryongor,SL01021601,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gbogbeima,SL01021602,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kemoh,SL01021603,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Niawa,SL01021604,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Songhai,SL01021605,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Tongorwa,SL01021606,,,Wandor,SL010216,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Airfield,SL01029101,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gbo Kakajama A-Bur,SL01029102,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gbo Kakajama A-Lum,SL01029103,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gbo Lambayama A-Le,SL01029104,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
