#adm3+name+i_fra+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Kumba 3rd,,CM010005004,,,,,,Meme,,CM010005,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbonge,,CM010005005,,,,,,Meme,,CM010005,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bamusso,,CM010006001,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dikome Balue,,CM010006002,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ekondo Titi,,CM010006003,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Idabato,,CM010006004,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Isangele,,CM010006005,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kombo Abedimo,,CM010006006,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kombo Itindi,,CM010006007,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mundemba,,CM010006008,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Toko,,CM010006009,,,,,,Ndian,,CM010006,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
