qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:2:305,305,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:305,Al-Dawahy ,قسم الضواحى,EG0305,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:306,306,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:306,Al-Ganoub,قسم الجنوب,EG0306,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:307,307,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:307,Al-Zohour,قسم الزهور,EG0307,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:308,308,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:308,Port Fuad 2,قسم ثان بور فؤاد,EG0308,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:309,309,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:309,Mubark-Sharq Tafrea,قسم مبارك - شرق التفريعة,EG0309,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:310,310,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:310,Al-Manasra,قسم المناصرة,EG0310,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:311,311,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:311,Al-Ganoub 2,قسم ثان الجنوب,EG0311,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:312,312,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:312,Police Department Port Said Port,إدارة شرطة ميناء بورسعيد,EG0312,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:401,401,1603:45:16:818:0,1603:45:16:818:1:4,1603:45:16:818:2:401,Suez ,قسم السويس,EG0401,Suez,السويس,EG04,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:402,402,1603:45:16:818:0,1603:45:16:818:1:4,1603:45:16:818:2:402,Al-Arbiin,قسم الأربعين,EG0402,Suez,السويس,EG04,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:403,403,1603:45:16:818:0,1603:45:16:818:1:4,1603:45:16:818:2:403,Ataqa,قسم عتاقة,EG0403,Suez,السويس,EG04,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:404,404,1603:45:16:818:0,1603:45:16:818:1:4,1603:45:16:818:2:404,Faysal,قسم فيصل,EG0404,Suez,السويس,EG04,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:405,405,1603:45:16:818:0,1603:45:16:818:1:4,1603:45:16:818:2:405,Al-Ganayin,قسم الجناين,EG0405,Suez,السويس,EG04,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:406,406,1603:45:16:818:0,1603:45:16:818:1:4,1603:45:16:818:2:406,Port Suez Police Department,إدارة شرطة ميناء السويس,EG0406,Suez,السويس,EG04,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1101,1101,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1101,Dumyat 1,قسم أول دمياط,EG1101,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1102,1102,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1102,Dumyat,مركز دمياط,EG1102,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1103,1103,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1103,Fariskur,مركز فارسكور,EG1103,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:1104,1104,1603:45:16:818:0,1603:45:16:818:1:11,1603:45:16:818:2:1104,Kafr Sad,مركز كفر سعد,EG1104,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
