#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:450:3:11101001,11101001,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101001,1603:45:16:450:3:11101001,1er Arrondissement,MG11101001,,,,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303052,32303052,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303052,Antakotako,MG32303052,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303070,32303070,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303070,Ankofa,MG32303070,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303090,32303090,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303090,Ambinanitelo,MG32303090,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303111,32303111,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303111,Anjahana,MG32303111,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303112,32303112,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303112,Ambanizana,MG32303112,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303113,32303113,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303113,Mahalevona,MG32303113,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303131,32303131,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303131,Voloina,MG32303131,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303132,32303132,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303132,Ankofabe,MG32303132,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303133,32303133,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303133,Antsirabe Sahatany,MG32303133,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303151,32303151,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303151,Rantabe,MG32303151,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303152,32303152,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303152,Morafeno,MG32303152,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303153,32303153,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303153,Androndrono,MG32303153,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303154,32303154,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303154,Ambodimanga Rantabe,MG32303154,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32303155,32303155,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32303,1603:45:16:450:3:32303155,Anandrivola,MG32303155,,,,Maroantsetra,MG32303,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304011,32304011,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304011,Mananara Avaratra,MG32304011,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304012,32304012,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304012,Ambodivoanio,MG32304012,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304013,32304013,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304013,Imorona,MG32304013,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304031,32304031,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304031,Antanambaobe,MG32304031,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304032,32304032,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304032,Antanananivo,MG32304032,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304050,32304050,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304050,Manambolosy,MG32304050,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304070,32304070,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304070,Ambodiampana,MG32304070,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304091,32304091,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304091,Sandrakatsy,MG32304091,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304092,32304092,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304092,Tanibe,MG32304092,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304093,32304093,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304093,Ambatoharanana,MG32304093,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304110,32304110,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304110,Antanambe,MG32304110,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304130,32304130,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304130,Saromaona,MG32304130,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304151,32304151,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304151,Vanono,MG32304151,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32304152,32304152,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32304,1603:45:16:450:3:32304152,Andasibe I,MG32304152,,,,Mananara-Avaratra,MG32304,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305010,32305010,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305010,Fenerive Est,MG32305010,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305030,32305030,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305030,Ambodimanga II,MG32305030,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305050,32305050,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305050,Mahambo,MG32305050,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305070,32305070,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305070,Ampasina Maningory,MG32305070,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305090,32305090,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305090,Ambatoharanana,MG32305090,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305110,32305110,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305110,Vohilengo,MG32305110,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305130,32305130,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305130,Saranambana,MG32305130,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305150,32305150,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305150,Ampasimbe Manantsatrana,MG32305150,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305170,32305170,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305170,Miorimivalana,MG32305170,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305190,32305190,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305190,Vohipeno,MG32305190,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305210,32305210,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305210,Antsiatsiaka,MG32305210,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32305238,32305238,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32305,1603:45:16:450:3:32305238,Mahanoro,MG32305238,,,,Fenerive Est,MG32305,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315010,32315010,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315010,Vavatenina,MG32315010,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315030,32315030,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315030,Maromitety,MG32315030,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315050,32315050,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315050,Ambohibe,MG32315050,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315070,32315070,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315070,Ampasimazava,MG32315070,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315091,32315091,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315091,Anjahambe,MG32315091,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315092,32315092,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315092,Ambatoharanana,MG32315092,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315110,32315110,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315110,Andasibe,MG32315110,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315130,32315130,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315130,Miarinarivo,MG32315130,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315150,32315150,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315150,Sahatavy,MG32315150,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32315170,32315170,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32315,1603:45:16:450:3:32315170,Ambodimangavalo,MG32315170,,,,Vavatenina,MG32315,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318011,32318011,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318011,Soanierana Ivongo,MG32318011,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318012,32318012,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318012,Fotsialanana,MG32318012,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318030,32318030,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318030,Antanifotsy,MG32318030,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318050,32318050,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318050,Ambodiampana,MG32318050,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318070,32318070,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318070,Andapafito,MG32318070,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318090,32318090,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318090,Ambahoabe,MG32318090,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318110,32318110,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318110,Manompana,MG32318110,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:32318130,32318130,1603:45:16:450:0,1603:45:16:450:1:32,1603:45:16:450:2:32318,1603:45:16:450:3:32318130,Antenina,MG32318130,,,,Soanierana Ivongo,MG32318,Analanjirofo,MG32,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312011,33312011,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312011,Amparafaravola,MG33312011,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312012,33312012,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312012,Bedidy,MG33312012,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312013,33312013,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312013,Ambohimandroso,MG33312013,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312014,33312014,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312014,Sahamamy,MG33312014,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312031,33312031,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312031,Ambatomainty,MG33312031,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312032,33312032,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312032,Ampasikely,MG33312032,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312033,33312033,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312033,Andrebakely Sud,MG33312033,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312051,33312051,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312051,Ambohitrarivo,MG33312051,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312052,33312052,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312052,Anororo,MG33312052,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312071,33312071,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312071,Morarano Chrome,MG33312071,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312072,33312072,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312072,Ranomainty,MG33312072,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312090,33312090,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312090,Ambohijanahary,MG33312090,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312111,33312111,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312111,Tanambe,MG33312111,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312112,33312112,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312112,Beanana,MG33312112,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312113,33312113,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312113,Vohitsara,MG33312113,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312131,33312131,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312131,Amboavory,MG33312131,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312132,33312132,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312132,Andilana Nord,MG33312132,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312133,33312133,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312133,Ambodimanga,MG33312133,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312151,33312151,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312151,Vohimena,MG33312151,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33312152,33312152,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33312,1603:45:16:450:3:33312152,Andrebakely Nord,MG33312152,,,,Amparafaravola,MG33312,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313010,33313010,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313010,Ambatondrazaka,MG33313010,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313031,33313031,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313031,Feramanga Nord,MG33313031,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313032,33313032,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313032,Ambatondrazaka Suburbaine,MG33313032,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313033,33313033,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313033,Ambandrika,MG33313033,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313050,33313050,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313050,Ampitatsimo,MG33313050,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313070,33313070,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313070,Ambohitsilaozana,MG33313070,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313090,33313090,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313090,Ilafy,MG33313090,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313111,33313111,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313111,Manakambahiny Andrefana,MG33313111,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313112,33313112,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313112,Antsangasanga,MG33313112,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313130,33313130,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313130,Ambatosoratra,MG33313130,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313151,33313151,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313151,Andilanatoby,MG33313151,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313152,33313152,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313152,Bejofo,MG33313152,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313170,33313170,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313170,Didy,MG33313170,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313191,33313191,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313191,Imerimandroso,MG33313191,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:33313192,33313192,1603:45:16:450:0,1603:45:16:450:1:33,1603:45:16:450:2:33313,1603:45:16:450:3:33313192,Amparihintsokatra,MG33313192,,,,Ambatondrazaka,MG33313,Alaotra Mangoro,MG33,Madagascar,MG,2010-12-31,2020-02-20,
