#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:591:3:20603,20603,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20603,Cochea,PA020603,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20604,20604,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20604,David,PA020604,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20605,20605,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20605,Guacá,PA020605,Guaca,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20606,20606,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20606,Las Lomas,PA020606,Las Lomas,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20607,20607,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20607,Pedregal,PA020607,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20608,20608,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20608,San Carlos,PA020608,San Carlos,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20609,20609,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20609,San Pablo Nuevo,PA020609,San Pablo Nuevo,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20610,20610,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20610,San Pablo Viejo,PA020610,San Pablo Viejo,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20701,20701,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,1603:45:16:591:3:20701,Dolega,PA020701,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20702,20702,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,1603:45:16:591:3:20702,Dos Ríos,PA020702,Dos Rios,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20703,20703,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,1603:45:16:591:3:20703,Los Anastacios,PA020703,Los Anastacios,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20704,20704,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,1603:45:16:591:3:20704,Potrerillos Abajo,PA020704,Potrerillos Abajo,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20705,20705,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,1603:45:16:591:3:20705,Potrerillos,PA020705,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20706,20706,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,1603:45:16:591:3:20706,Rovira,PA020706,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
