#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:68:3:20806,20806,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,1603:45:16:68:3:20806,Jesús de Machaka,BO020806,Jesus de Machaka,,,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20807,20807,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,1603:45:16:68:3:20807,Taraco,BO020807,,,,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20901,20901,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:209,1603:45:16:68:3:20901,Luribay,BO020901,,,,Loayza,BO0209,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20902,20902,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:209,1603:45:16:68:3:20902,Sapahaqui,BO020902,,,,Loayza,BO0209,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20903,20903,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:209,1603:45:16:68:3:20903,Yaco,BO020903,,,,Loayza,BO0209,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20904,20904,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:209,1603:45:16:68:3:20904,Malla,BO020904,,,,Loayza,BO0209,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20905,20905,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:209,1603:45:16:68:3:20905,Cairoma,BO020905,,,,Loayza,BO0209,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21001,21001,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:210,1603:45:16:68:3:21001,Inquisivi,BO021001,,,,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21002,21002,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:210,1603:45:16:68:3:21002,Quime,BO021002,,,,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21003,21003,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:210,1603:45:16:68:3:21003,Cajuata,BO021003,,,,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21004,21004,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:210,1603:45:16:68:3:21004,Colquiri,BO021004,,,,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21005,21005,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:210,1603:45:16:68:3:21005,Ichoca,BO021005,,,,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21006,21006,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:210,1603:45:16:68:3:21006,Villa Libertad Licoma,BO021006,,,,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21101,21101,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:211,1603:45:16:68:3:21101,Chulumani,BO021101,,,,Sud Yungas,BO0211,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21102,21102,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:211,1603:45:16:68:3:21102,Irupana,BO021102,,,,Sud Yungas,BO0211,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:21103,21103,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:211,1603:45:16:68:3:21103,Yanacachi,BO021103,,,,Sud Yungas,BO0211,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
