#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Reifi Kassla,ريفى كسلا,SD11056,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Shamal Ad Delta,ريفى شمال الدلتا,SD11057,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Hamashkureib,ريفى همش كوريب,SD11058,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Telkok,ريفى تلكوك,SD11059,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Khashm Elgirba,ريفى خشم القربة,SD11060,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Wad Elhilaiw,ريفى ود الحليو,SD11061,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Nahr Atbara,ريفى نهر عطبرة,SD11062,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Butanah,البطانة,SD12073,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Fao,الفاو,SD12074,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Fashaga,الفشقة,SD12075,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Qureisha,القريشة,SD12076,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Basundah,باسندة,SD12077,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Galabat Al Gharbyah - Kassab,القلابات الغربية - كساب,SD12078,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Gala'a Al Nahal,قلع النحل,SD12079,Galaa Al Nahal,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
