#adm3+name+i_en,#adm3+name+i_my,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt1+i_my,#adm2+name+i_en,#adm2+name+i_my,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_my,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_my,#country+code+v_iso2,#date+start,#date+updated,#date+end
Pinlebu,ပင်လည်ဘူး,MM005026,,,,Kawlin,ကောလင်းခရိုင်,MM005D011,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kale,ကလေး,MM005027,,,,Kale,ကလေးခရိုင်,MM005D005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kalewa,ကလေးဝ,MM005028,,,,Kale,ကလေးခရိုင်,MM005D005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mingin,မင်းကင်း,MM005029,,,,Kale,ကလေးခရိုင်,MM005D005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Tamu,တမူး,MM005030,,,,Tamu,တမူးခရိုင်,MM005D006,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mawlaik,မော်လိုက်,MM005031,,,,Mawlaik,မော်လိုက်ခရိုင်,MM005D007,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Paungbyin,ဖောင်းပြင်,MM005032,,,,Mawlaik,မော်လိုက်ခရိုင်,MM005D007,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hkamti,ခန္တီး,MM005033,,,,Hkamti,ခန္တီးခရိုင်,MM005D008,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Homalin,ဟုမ္မလင်း,MM005034,,,,Hkamti,ခန္တီးခရိုင်,MM005D008,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Lay Shi,လေရှီး,MM005035,,,,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Lahe,လဟယ်,MM005036,,,,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Nanyun,နန်းယွန်း,MM005037,,,,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM005S001,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Dawei,ထားဝယ်,MM006001,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Launglon,လောင်းလုံး,MM006002,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Thayetchaung,သရက်ချောင်း,MM006003,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Yebyu,ရေဖြူ,MM006004,,,,Dawei,ထားဝယ်ခရိုင်,MM006D001,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myeik,မြိတ်,MM006005,,,,Myeik,မြိတ်ခရိုင်,MM006D002,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
