#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Gaborone,BW010101,,,,Gaborone,BW0101,Gaborone,BW01,Botswana,BW,2021-05-18,2021-05-18,
Central Kgalagadi Game Reserve,BW160201,,,,Central Kgalagadi Game Reserve,BW1602,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Werda,BW170101,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Makopong,BW170102,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Khisa,BW170103,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Omaweneno,BW170104,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Tsabong,BW170105,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Kolonkwane,BW170106,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Bogogobo,BW170107,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Middlepits,BW170108,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Khuis,BW170109,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Gachibana,BW170110,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Rapples Pan,BW170111,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Vaalhoek,BW170112,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Bokspits,BW170113,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Struizendam,BW170114,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Bray,BW170115,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Phepheng/Draaihoek,BW170116,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Maubelo,BW170117,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Khwawa,BW170118,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Kokotsha,BW170119,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Maralaleng,BW170120,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Maleshe,BW170121,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Molopo Farms,BW170122,,,,Kgalagadi South,BW1701,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Kang,BW170201,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Tshane,BW170202,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Hukuntsi,BW170203,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Lehututu,BW170204,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Lokgwabe,BW170205,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Monong,BW170206,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Ncaang,BW170207,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Hunhukwe,BW170208,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Zutswa,BW170209,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Ngwatle,BW170210,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Ukwi,BW170211,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Make,BW170212,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Inalegolo,BW170213,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
Phuduhudu,BW170214,,,,Kgalagadi North,BW1702,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
