#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Tiébélé,BF510203,Tiebele,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Zecco,BF510204,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Ziou,BF510205,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Béré,BF510301,Bere,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Bindé,BF510302,Binde,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Gogo,BF510303,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Gomboussougou,BF510304,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Guiba,BF510305,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Manga,BF510306,,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Nobéré,BF510307,Nobere,,,Zoundwéogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Bilanga,BF520101,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Bogandé,BF520102,Bogande,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Koala,BF520103,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Liptougou,BF520104,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Mani,BF520105,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Piéla,BF520106,Piela,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Thion,BF520107,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Diabo,BF520201,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Diapangou,BF520202,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Fada-Ngourma,BF520203,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Matiakoali,BF520204,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Tibga,BF520205,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Yamba,BF520206,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Bartiébougou,BF520301,Bartiebougou,,,Komandjari,BF5203,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
