admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
#adm2+name+i_es,#adm2+code+pcode,,#adm2+name+i_es,#adm2+name+i_es,#adm1+name+i_es,#adm1+code+pcode,#adm0+name+i_es,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Atoyac,MX14014,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Atoyac,MX30021,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Atoyac de Álvarez,MX12011,Atoyac de Alvarez,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Atoyatempan,MX21020,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Atzacan,MX30022,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Atzala,MX21021,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Atzalan,MX30023,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Atzitzihuacán,MX21022,Atzitzihuacan,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Atzitzintla,MX21023,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Autlán de Navarro,MX14015,Autlan de Navarro,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Axapusco,MX15016,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Axochiapan,MX17003,,,,Morelos,MX17,México,MX,2018-02-02,2020-06-18,
Axtla de Terrazas,MX24053,,,,San Luis Potosí,MX24,México,MX,2018-02-02,2020-06-18,
Axutla,MX21024,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Ayahualulco,MX30025,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Ayala,MX17004,,,,Morelos,MX17,México,MX,2018-02-02,2020-06-18,
Ayapango,MX15017,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Ayoquezco de Aldama,MX20398,,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Ayotlán,MX14016,Ayotlan,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Ayotoxco de Guerrero,MX21025,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Ayotzintepec,MX20009,,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Ayutla,MX14017,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Ayutla de los Libres,MX12012,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Azcapotzalco,MX09002,,,,Distrito Federal,MX09,México,MX,2018-02-02,2020-06-18,
Azoyú,MX12013,Azoyu,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Baca,MX31004,,,,Yucatán,MX31,México,MX,2018-02-02,2020-06-18,
Bacadéhuachi,MX26008,Bacadehuachi,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Bacanora,MX26009,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Bacerac,MX26010,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Bachíniva,MX08006,Bachiniva,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Bacoachi,MX26011,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Bácum,MX26012,Bacum,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Badiraguato,MX25003,,,,Sinaloa,MX25,México,MX,2018-02-02,2020-06-18,
Bahía de Banderas,MX18020,Bahia de Banderas,,,Nayarit,MX18,México,MX,2018-02-02,2020-06-18,
Balancán,MX27001,Balancan,,,Tabasco,MX27,México,MX,2018-02-02,2020-06-18,
Balleza,MX08007,,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Banámichi,MX26013,Banamichi,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Banderilla,MX30026,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Batopilas,MX08008,,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Baviácora,MX26014,Baviacora,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Bavispe,MX26015,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Bejucal de Ocampo,MX07010,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Bella Vista,MX07011,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Benemérito de las Américas,MX07114,Benemerito de las Americas,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Benito Juárez,MX09014,Benito Juarez,,,Distrito Federal,MX09,México,MX,2018-02-02,2020-06-18,
Benito Juárez,MX12014,Benito Juarez,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Benito Juárez,MX23005,Benito Juarez,,,Quintana Roo,MX23,México,MX,2018-02-02,2020-06-18,
Benito Juárez,MX26071,Benito Juarez,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Benito Juárez,MX29045,Benito Juarez,,,Tlaxcala,MX29,México,MX,2018-02-02,2020-06-18,
Benito Juárez,MX30027,Benito Juarez,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Benito Juárez,MX32004,Benito Juarez,,,Zacatecas,MX32,México,MX,2018-02-02,2020-06-18,
Benjamín Hill,MX26016,Benjamin Hill,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Berriozábal,MX07012,Berriozabal,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Boca del Río,MX30028,Boca del Rio,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Bochil,MX07013,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Bocoyna,MX08009,,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Bokobá,MX31005,Bokoba,,,Yucatán,MX31,México,MX,2018-02-02,2020-06-18,
Bolaños,MX14019,Bolanos,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Briseñas,MX16011,Brisenas,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Buctzotz,MX31006,,,,Yucatán,MX31,México,MX,2018-02-02,2020-06-18,
Buenaventura,MX08010,,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Buenavista,MX16012,,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
