admin2Name_en,admin2Name_mn,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_mn,admin2AltName2_mn,admin1Name_en,admin1Name_mn,admin1Pcode,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_mn,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_mn,#adm2+name+i_mn,#adm1+name+i_en,#adm1+name+i_mn,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_mn,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Cecerleg,Цэцэрлэг,MN6758,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ceel,Цээл,MN4173,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ceel,Цээл,MN8243,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cengel,Цэнгэл,MN8340,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cenxer,Цэнхэр,MN6546,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cenxermandal,Цэнхэрмандал,MN2349,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Chandmani,Чандмань,MN8246,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Chandmani,Чандмань,MN8446,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Chandmani-O'ndor,Чандмань-Өндөр,MN6761,Chandmani-Ondor,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Chingeltei,Чингэлтэй,MN1125,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Choibalsan,Чойбалсан,MN2137,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Chuluunxoroot,Чулуунхороот,MN2140,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Chuluut,Чулуут,MN6552,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cogt,Цогт,MN8240,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cogt-Cecii,Цогтцэций,MN4643,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cogt-Ovoo,Цогт-Овоо,MN4640,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dadal,Дадал,MN2328,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dalanjargalan,Даланжаргалан,MN4410,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dalanzadgad,Даланзадгад,MN4601,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dariganga,Дарьганга,MN2210,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Darvi,Дарви,MN8413,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Darvi,Дарив,MN8216,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Darxan,Дархан,MN2331,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Darxan,Дархан,MN4501,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dashbalbar,Дашбалбар,MN2119,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dashinchilen,Дашинчилэн,MN6319,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Davst,Давст,MN8510,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Delger,Дэлгэр,MN8219,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Delgercogt,Дэлгэрцогт,MN4819,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Delgerex,Дэлгэрэх,MN4413,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Delgerxaan,Дэлгэрхаан,MN2334,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Delgerxaan,Дэлгэрхаан,MN4146,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Delgerxangai,Дэлгэрхангай,MN4816,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Delu'un,Дэлүүн,MN8322,Deluun,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Deren,Дэрэн,MN4822,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Do'rgon,Дөргөн,MN8416,Dorgon,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Do'rvoljin,Дөрвөлжин,MN8116,Dorvoljin,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Duut,Дуут,MN8419,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdene,Эрдэнэ,MN4176,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Erdene,Эрдэнэ,MN4440,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
