qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:68:2:410,410,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:410,Saucarí,BO0410,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:411,411,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:411,Tomás Barrón,BO0411,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:412,412,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:412,Sur Carangas,BO0412,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:413,413,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:413,San Pedro de Totora,BO0413,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:414,414,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:414,Sebastián Pagador,BO0414,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:415,415,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:415,Mejillones,BO0415,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:416,416,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:416,Nor Carangas,BO0416,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:501,501,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:501,Tomás Frías,BO0501,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:502,502,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:502,Rafael Bustillo,BO0502,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:503,503,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:503,Cornelio Saavedra,BO0503,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:504,504,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:504,Chayanta,BO0504,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:505,505,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:505,Chárcas,BO0505,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:506,506,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:506,Nor Chichas,BO0506,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:507,507,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:507,Alonso de Ibáñez,BO0507,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:508,508,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:508,Sur Chichas,BO0508,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:509,509,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:509,Nor Lipez,BO0509,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:510,510,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:510,Sur Lipez,BO0510,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:511,511,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:511,José María Linares,BO0511,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:512,512,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:512,Antonio Quijarro,BO0512,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:513,513,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:513,General Bilbao,BO0513,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:514,514,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:514,Daniel Campos,BO0514,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:515,515,1603:45:16:68:0,1603:45:16:68:1:5,1603:45:16:68:2:515,Modesto Omiste,BO0515,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
