qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,sqi-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,sqi-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,sqi-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,sqi-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:8:3:60103,60103,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:601,1603:45:16:8:3:60103,Pogon,Pogon,AL060103,Bashkia Dropull,Bashkia Dropull,AL0601,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60201,60201,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,1603:45:16:8:3:60201,Antigone,Antigonë,AL060201,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60202,60202,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,1603:45:16:8:3:60202,Cepo,Cepo,AL060202,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60203,60203,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,1603:45:16:8:3:60203,Gjirokaster,Gjirokastër,AL060203,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60204,60204,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,1603:45:16:8:3:60204,Lazarat,Lazarat,AL060204,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60205,60205,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,1603:45:16:8:3:60205,Lunxheri,Lunxhëri,AL060205,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60206,60206,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,1603:45:16:8:3:60206,Odrie,Odrie,AL060206,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60207,60207,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:602,1603:45:16:8:3:60207,Picar,Picar,AL060207,Bashkia Gjirokaster,Bashkia Gjirokastër,AL0602,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60301,60301,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:603,1603:45:16:8:3:60301,Ballaban,Ballaban,AL060301,Bashkia Kelcyre,Bashkia Këlcyrë,AL0603,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60302,60302,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:603,1603:45:16:8:3:60302,Dishnice,Dishnicë,AL060302,Bashkia Kelcyre,Bashkia Këlcyrë,AL0603,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60303,60303,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:603,1603:45:16:8:3:60303,Kelcyre,Këlcyrë,AL060303,Bashkia Kelcyre,Bashkia Këlcyrë,AL0603,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60304,60304,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:603,1603:45:16:8:3:60304,Suke,Sukë,AL060304,Bashkia Kelcyre,Bashkia Këlcyrë,AL0603,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60401,60401,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:604,1603:45:16:8:3:60401,Libohove,Libohovë,AL060401,Bashkia Libohove,Bashkia Libohovë,AL0604,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60402,60402,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:604,1603:45:16:8:3:60402,Qen Liboh,Qen.Liboh,AL060402,Bashkia Libohove,Bashkia Libohovë,AL0604,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60403,60403,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:604,1603:45:16:8:3:60403,Zagori,Zagori,AL060403,Bashkia Libohove,Bashkia Libohovë,AL0604,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60501,60501,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:605,1603:45:16:8:3:60501,Buz,Buz,AL060501,Bashkia Memaliaj,Bashkia Memaliaj,AL0605,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60502,60502,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:605,1603:45:16:8:3:60502,Fshat Mem,Fshat Mem,AL060502,Bashkia Memaliaj,Bashkia Memaliaj,AL0605,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60503,60503,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:605,1603:45:16:8:3:60503,Krahes,Krahës,AL060503,Bashkia Memaliaj,Bashkia Memaliaj,AL0605,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60504,60504,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:605,1603:45:16:8:3:60504,Luftinje,Luftinjë,AL060504,Bashkia Memaliaj,Bashkia Memaliaj,AL0605,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60505,60505,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:605,1603:45:16:8:3:60505,Memaliaj,Memaliaj,AL060505,Bashkia Memaliaj,Bashkia Memaliaj,AL0605,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60506,60506,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:605,1603:45:16:8:3:60506,Qesarat,Qesarat,AL060506,Bashkia Memaliaj,Bashkia Memaliaj,AL0605,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60601,60601,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:606,1603:45:16:8:3:60601,Carshove,Çarshovë,AL060601,Bashkia Permet,Bashkia Përmet,AL0606,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60602,60602,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:606,1603:45:16:8:3:60602,Frasher,Frashër,AL060602,Bashkia Permet,Bashkia Përmet,AL0606,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60603,60603,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:606,1603:45:16:8:3:60603,Permet,Përmet,AL060603,Bashkia Permet,Bashkia Përmet,AL0606,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60604,60604,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:606,1603:45:16:8:3:60604,Petran,Petran,AL060604,Bashkia Permet,Bashkia Përmet,AL0606,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60605,60605,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:606,1603:45:16:8:3:60605,Qender Piskove,Qendër Piskovë,AL060605,Bashkia Permet,Bashkia Përmet,AL0606,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60701,60701,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:607,1603:45:16:8:3:60701,Kurvelesh,Kurvelesh,AL060701,Bashkia Tepelene,Bashkia Tepelenë,AL0607,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60702,60702,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:607,1603:45:16:8:3:60702,Lopes,Lopës,AL060702,Bashkia Tepelene,Bashkia Tepelenë,AL0607,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60703,60703,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:607,1603:45:16:8:3:60703,Qender,Qendër,AL060703,Bashkia Tepelene,Bashkia Tepelenë,AL0607,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60704,60704,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:607,1603:45:16:8:3:60704,Tepelene,Tepelenë,AL060704,Bashkia Tepelene,Bashkia Tepelenë,AL0607,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70101,70101,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:701,1603:45:16:8:3:70101,Ballsh,Ballsh,AL070101,Bashkia Devoll,Bashkia Devollit,AL0701,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70102,70102,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:701,1603:45:16:8:3:70102,Bilisht,Bilisht,AL070102,Bashkia Devoll,Bashkia Devollit,AL0701,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70103,70103,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:701,1603:45:16:8:3:70103,Hocisht,Hoçisht,AL070103,Bashkia Devoll,Bashkia Devollit,AL0701,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70104,70104,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:701,1603:45:16:8:3:70104,Miras,Miras,AL070104,Bashkia Devoll,Bashkia Devollit,AL0701,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70105,70105,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:701,1603:45:16:8:3:70105,Proger,Progër,AL070105,Bashkia Devoll,Bashkia Devollit,AL0701,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70201,70201,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70201,Barmash,Barmash,AL070201,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70202,70202,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70202,Clirim,Çlirim,AL070202,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70203,70203,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70203,Erseke,Ersekë,AL070203,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70204,70204,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70204,Komuna La,Komuna La,AL070204,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70205,70205,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70205,Leskovik,Leskovik,AL070205,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70206,70206,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70206,Mollas,Mollas,AL070206,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70207,70207,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70207,Novosele,Novoselë,AL070207,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70208,70208,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:702,1603:45:16:8:3:70208,Qender Erseke,Qendër Ersekë,AL070208,Bashkia Kolonje,Bashkia Kolonjës,AL0702,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70301,70301,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70301,Drenove,Drenovë,AL070301,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70302,70302,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70302,Korce,Korçë,AL070302,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70303,70303,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70303,Lekas,Lekas,AL070303,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70304,70304,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70304,Mollaj,Mollaj,AL070304,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70305,70305,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70305,Qender,Qendër,AL070305,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70306,70306,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70306,Vithkuq,Vithkuq,AL070306,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70307,70307,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70307,Voskop,Voskop,AL070307,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70308,70308,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:703,1603:45:16:8:3:70308,Voskopoje,Voskopojë,AL070308,Bashkia Korce,Bashkia Korçë,AL0703,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70401,70401,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,1603:45:16:8:3:70401,Gore,Gore,AL070401,Bashkia Maliq,Bashkia Maliq,AL0704,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70402,70402,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,1603:45:16:8:3:70402,Libonik,Libonik,AL070402,Bashkia Maliq,Bashkia Maliq,AL0704,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70403,70403,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,1603:45:16:8:3:70403,Maliq,Maliq,AL070403,Bashkia Maliq,Bashkia Maliq,AL0704,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70404,70404,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,1603:45:16:8:3:70404,Moglice,Moglicë,AL070404,Bashkia Maliq,Bashkia Maliq,AL0704,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70405,70405,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,1603:45:16:8:3:70405,Pirg,Pirg,AL070405,Bashkia Maliq,Bashkia Maliq,AL0704,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70406,70406,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,1603:45:16:8:3:70406,Pojan,Pojan,AL070406,Bashkia Maliq,Bashkia Maliq,AL0704,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70407,70407,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:704,1603:45:16:8:3:70407,Vreshtas,Vreshtas,AL070407,Bashkia Maliq,Bashkia Maliq,AL0704,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70501,70501,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70501,Bucimas,Buçimas,AL070501,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70502,70502,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70502,Cerrave,Çërravë,AL070502,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70503,70503,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70503,Dardhas,Dardhas,AL070503,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70504,70504,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70504,Hudenisht,Hudenisht,AL070504,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70505,70505,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70505,Pogradec,Pogradec,AL070505,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70506,70506,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70506,Proptisht,Proptisht,AL070506,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70507,70507,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70507,Trebinje,Trebinjë,AL070507,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70508,70508,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:705,1603:45:16:8:3:70508,Velcan,Velçan,AL070508,Bashkia Pogradec,Bashkia Pogradec,AL0705,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:70601,70601,1603:45:16:8:0,1603:45:16:8:1:7,1603:45:16:8:2:706,1603:45:16:8:3:70601,Liqenas,Liqenas,AL070601,Bashkia Pustec,Bashkia Pustec,AL0706,Korce,Korçë,AL07,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80101,80101,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:801,1603:45:16:8:3:80101,Fajza,Fajza,AL080101,Bashkia Krume,Bashkia Krumë,AL0801,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80102,80102,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:801,1603:45:16:8:3:80102,Gjinaj,Gjinaj,AL080102,Bashkia Krume,Bashkia Krumë,AL0801,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80103,80103,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:801,1603:45:16:8:3:80103,Golaj,Golaj,AL080103,Bashkia Krume,Bashkia Krumë,AL0801,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80104,80104,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:801,1603:45:16:8:3:80104,Krume,Krumë,AL080104,Bashkia Krume,Bashkia Krumë,AL0801,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80201,80201,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80201,Arren,Arrën,AL080201,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80202,80202,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80202,Bicaj,Bicaj,AL080202,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80203,80203,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80203,Bushtrice,Bushtricë,AL080203,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80204,80204,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80204,Gryke-Caje,Gryke-Çaje,AL080204,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80205,80205,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80205,Kalis,Kalis,AL080205,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80206,80206,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80206,Kolsh,Kolsh,AL080206,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80207,80207,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80207,Kukes,Kukës,AL080207,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80208,80208,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80208,Malzi,Malzi,AL080208,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80209,80209,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80209,Shishtavec,Shishtavec,AL080209,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80210,80210,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80210,Shtiqen,Shtiqen,AL080210,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80211,80211,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80211,Surroj,Surroj,AL080211,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80212,80212,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80212,Terthore,Terthorë,AL080212,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80213,80213,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80213,Topojan,Topojan,AL080213,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80214,80214,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80214,Ujmisht,Ujmisht,AL080214,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80215,80215,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:802,1603:45:16:8:3:80215,Zapod,Zapod,AL080215,Bashkia Kukes,Bashkia Kukës,AL0802,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
