#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:384:2:2702,2702,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2702,Dimbokro,CI2702,,,,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2703,2703,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2703,Kouassi-Kouassikro,CI2703,,,,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2801,2801,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2801,Dikodougou,CI2801,,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2802,2802,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,Korhogo,CI2802,,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2803,2803,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2803,M'Bengué,CI2803,MBengue,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2804,2804,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2804,Sinématiali,CI2804,Sinematiali,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2901,2901,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2901,San Pédro,CI2901,San Pedro,,,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2902,2902,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2902,Tabou,CI2902,,,,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3001,3001,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,Aboisso,CI3001,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3002,3002,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3002,Adiaké,CI3002,Adiake,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3003,3003,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3003,Grand-Bassam,CI3003,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3004,3004,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3004,Tiapoum,CI3004,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3101,3101,1603:45:16:384:0,1603:45:16:384:1:31,1603:45:16:384:2:3101,Ferkessédougou,CI3101,Ferkessedougou,,,Tchologo,CI31,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3102,3102,1603:45:16:384:0,1603:45:16:384:1:31,1603:45:16:384:2:3102,Kong,CI3102,,,,Tchologo,CI31,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3103,3103,1603:45:16:384:0,1603:45:16:384:1:31,1603:45:16:384:2:3103,Ouangolodougou,CI3103,,,,Tchologo,CI31,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3201,3201,1603:45:16:384:0,1603:45:16:384:1:32,1603:45:16:384:2:3201,Biankouma,CI3201,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3202,3202,1603:45:16:384:0,1603:45:16:384:1:32,1603:45:16:384:2:3202,Danané,CI3202,Danane,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3203,3203,1603:45:16:384:0,1603:45:16:384:1:32,1603:45:16:384:2:3203,Man,CI3203,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3204,3204,1603:45:16:384:0,1603:45:16:384:1:32,1603:45:16:384:2:3204,Sipilou,CI3204,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3205,3205,1603:45:16:384:0,1603:45:16:384:1:32,1603:45:16:384:2:3205,Zouan-Hounien,CI3205,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3301,3301,1603:45:16:384:0,1603:45:16:384:1:33,1603:45:16:384:2:3301,Kani,CI3301,,,,Worodougou,CI33,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:3302,3302,1603:45:16:384:0,1603:45:16:384:1:33,1603:45:16:384:2:3302,Séguéla,CI3302,Seguela,,,Worodougou,CI33,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
