#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq
21938,Q936607
21954,Q2008367
21970,Q2008760
21997,Q1999321
22012,Q2008694
22039,Q2009298
22055,Q2008699
22071,Q2008707
22098,Q2008358
22110,Q2009097
22136,Q1962737
22152,Q2010952
22179,Q1979460
22195,Q2064614
22217,Q2010744
22233,Q2066120
22250,Q2011653
22276,Q2008324
22292,Q1816133
22314,Q2329707
22330,Q2099625
22357,Q1004229
22373,Q2097715
22390,Q2010393
22411,Q1815057
22438,Q2065255
23000,Q2034566
23019,Q1761348
23027,Q2010890
23035,Q2065815
23043,Q2010927
23051,Q1787629
23060,Q1111243
23078,Q1804038
23086,Q2013655
23094,Q2013722
23108,Q2430789
23116,Q938278
23124,Q1852062
23132,Q2010570
23140,Q1811064
23159,Q1844246
23167,Q682035
23175,Q1839783
23183,Q2103088
23191,Q1987808
23205,Q2010873
23213,Q626344
23221,Q923741
23230,Q637902
23248,Q1895257
23256,Q1811106
23264,Q2472554
23272,Q2102404
23280,Q2011531
23299,Q746519
23302,Q2011203
23310,Q1811159
23329,Q2088926
23337,Q949079
23353,Q2065057
23370,Q2011830
23396,Q524487
23418,Q568749
23434,Q2097751
23450,Q2341964
23477,Q2065806
23493,Q682185
23515,Q1807223
23531,Q2101554
23558,Q1809636
23574,Q1637538
23590,Q2010855
23612,Q2099535
23639,Q1008259
23655,Q2088907
23671,Q2010836
23698,Q1811052
23710,Q1814461
23736,Q2064820
23752,Q2064882
23779,Q2064956
23795,Q1993877
23817,Q622830
23833,Q2011032
23850,Q716874
23876,Q1811142
23892,Q2010970
23914,Q507095
23930,Q776802
23957,Q2064746
23973,Q2089188
23990,Q1916653
24015,Q2013538
24031,Q2102479
24058,Q2064727
24074,Q1869240
24090,Q2078233
24112,Q2105990
24139,Q2464842
24155,Q2011848
24171,Q2064836
24198,Q771575
24210,Q1804101
24236,Q1767210
24252,Q2102421
24279,Q535373
24295,Q2011836
24317,Q1804109
24333,Q1849689
24350,Q1787619
24376,Q2010845
24392,Q2309727
24414,Q2010935
24430,Q1796462
24457,Q743369
24473,Q1804119
24490,Q2011784
24511,Q587114
24538,Q2010880
24554,Q2010908
24570,Q271393
24597,Q2064753
24619,Q786899
24635,Q1401082
24651,Q2013547
24678,Q2104639
24694,Q1887813
24716,Q2013643
24732,Q2013715
24759,Q2078213
24775,Q2064902
24791,Q2077831
24813,Q2064965
24830,Q2011013
24856,Q2011780
24872,Q2012258
24899,Q1811182
24910,Q28301
24937,Q2013693
24953,Q2010863
24970,Q2064430
24996,Q547095
25011,Q2011342
25038,Q2013681
25054,Q2011819
25070,Q2101450
25097,Q2011285
25119,Q674432
25135,Q949833
25151,Q2013605
25178,Q1008230
25194,Q2106455
25216,Q842143
25232,Q1809609
25259,Q2309699
25275,Q2099821
25291,Q2011039
25313,Q48344
25330,Q1964406
25356,Q2088935
25372,Q2011054
25399,Q257236
25410,Q2278378
25437,Q2102772
25453,Q2065190
25470,Q1991944
25496,Q2082237
25518,Q2010898
25534,Q2013573
25550,Q2456298
25577,Q2010993
25593,Q2078660
25615,Q777635
25631,Q2355766
25658,Q2013565
25674,Q573729
25690,Q2011317
25712,Q1911145
25739,Q1796467
25755,Q2097693
25771,Q2000133
25798,Q2013706
25810,Q2011023
25836,Q929655
25852,Q2011296
25879,Q2064859
25895,Q2064701
25917,Q2078322
25933,Q2013728
25950,Q2011003
25976,Q2433604
25992,Q2011859
26018,Q2064935
26034,Q2604168
26050,Q929867
26077,Q2013594
26093,Q1870479
26115,Q2355756
26131,Q679786
26158,Q1804078
26174,Q2077835
26190,Q1804048
26212,Q2013582
26239,Q2065306
26255,Q2010783
26271,Q985685
26298,Q1761143
26310,Q536569
26336,Q1804093
27006,Q1795979
27014,Q1808899
27022,Q1795935
27030,Q2028005
27049,Q1795573
27057,Q626175
27065,Q1808524
27073,Q928274
27081,Q2028637
27090,Q1795908
27111,Q2027348
27138,Q2028288
27154,Q2028301
27170,Q1795566
27197,Q1772672
27219,Q2021035
27235,Q1808791
27251,Q2019063
27278,Q2028275
27294,Q1814259
27316,Q1796020
27332,Q1955261
27359,Q1808880
27375,Q2021044
27391,Q1816142
27413,Q1795581
27430,Q1816094
27456,Q1796426
27472,Q1808849
27499,Q988800
27510,Q520936
27537,Q649495
27553,Q1816177
27570,Q768122
27596,Q2021130
27618,Q1808097
27634,Q594183
27650,Q2021140
27677,Q1816248
27693,Q1808734
27715,Q1808087
27731,Q1815918
27758,Q2027123
27774,Q2020978
27790,Q1808328
27812,Q1795976
27839,Q961349
27855,Q168888
27871,Q1808271
27898,Q971736
27910,Q1814508
27936,Q985275
27952,Q2021217
27979,Q2028214
27995,Q2027641
28010,Q2013614
28037,Q2028160
28053,Q767029
28070,Q2013634
28096,Q1795628
28118,Q1816167
28134,Q1815966
28150,Q1808294
28177,Q1795548
28193,Q950712
28215,Q2355814
28231,Q511396
28258,Q948268
28274,Q2027100
28290,Q1772652
28312,Q1800877
28339,Q1772658
28355,Q1772595
28371,Q2013557
28398,Q1800867
