#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:2:10003,10003,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10003,Kyaukse,ကျောက်ဆည်ခရိုင်,MM010D003,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:10004,10004,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10004,Myingyan,မြင်းခြံခရိုင်,MM010D004,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:10005,10005,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10005,Nyaung-U,ညောင်ဦးခရိုင်,MM010D005,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:10006,10006,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10006,Yamethin,ရမည်းသင်းခရိုင်,MM010D006,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:10007,10007,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10007,Meiktila,မိတ္ထီလာခရိုင်,MM010D007,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:11001,11001,1603:45:16:104:0,1603:45:16:104:1:11,1603:45:16:104:2:11001,Mawlamyine,မော်လမြိုင်ခရိုင်,MM011D001,,,,,,Mon,မွန်ပြည်နယ်,MM011,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:11002,11002,1603:45:16:104:0,1603:45:16:104:1:11,1603:45:16:104:2:11002,Thaton,သထုံခရိုင်,MM011D002,,,,,,Mon,မွန်ပြည်နယ်,MM011,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:12001,12001,1603:45:16:104:0,1603:45:16:104:1:12,1603:45:16:104:2:12001,Sittwe,စစ်တွေခရိုင်,MM012D001,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:12002,12002,1603:45:16:104:0,1603:45:16:104:1:12,1603:45:16:104:2:12002,Maungdaw,မောင်တောခရိုင်,MM012D002,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:12003,12003,1603:45:16:104:0,1603:45:16:104:1:12,1603:45:16:104:2:12003,Kyaukpyu,ကျောက်ဖြူခရိုင်,MM012D003,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
